@relation PulsarCandidates_2014-04-29T10:22:29.247214
@attribute Score1 numeric
@attribute Score2 numeric
@attribute Score3 numeric
@attribute Score4 numeric
@attribute Score5 numeric
@attribute Score6 numeric
@attribute Score7 numeric
@attribute Score8 numeric
@attribute Score9 numeric
@attribute Score10 numeric
@attribute Score11 numeric
@attribute Score12 numeric
@attribute Score13 numeric
@attribute Score14 numeric
@attribute Score15 numeric
@attribute Score16 numeric
@attribute Score17 numeric
@attribute Score18 numeric
@attribute Score19 numeric
@attribute Score20 numeric
@attribute Score21 numeric
@attribute Score22 numeric
@attribute class {0,1}
@data
1674.10475111,29353.1096557,0.0,8589.77665763,83.5895883587,0.163662956601,37.5548908417,11.8923920651,861.449227035,1.91109877227,203.072671108,1358.74286375,27.6748878007,35.3533020152,0.03,4.86699196286,0.559135282199,0.0207780553562,13.7343041236,6.99563836209,0.162595603154,11.7675932125,1%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/KnownPulsars/L143770_SAP1_BEAM1_DM35.40_Z0_ACCEL_Cand_1.pfd
4590.54287537,7987.19626668,2.0,7587.31600768,72.6830246202,0.255869749223,49.2144922468,8.35926416193,1251.08028781,1.92196023089,506.661097409,357.259268267,15.8303167432,26.8036805008,0.02,2.26147382046,0.000863120211569,0.0337767093403,40.1669973614,11.6545972516,0.0575053581031,8.52621447281,1%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/KnownPulsars/L155450_SAP1_BEAM10_DM26.73_Z0_ACCEL_Cand_1.pfd
8595.25005855,30609.8407495,0.0,3090.54249514,3567.65644072,5.14505758533e-07,3512.88422442,26.6992931744,951.726359623,13.0280038254,563.404225536,64.3657708882,6.41708908233e-14,34.9111505122,0.31,4.30124687182e-14,0.20528092884,0.00550112675878,2.72271770336,0.0563120766935,0.982453685864,24.4937285663,1%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/KnownPulsars/L155451_SAP1_BEAM2_DM34.92_Z0_ACCEL_Cand_23.pfd
7302.02136681,17309.5579894,1.0,10234.9261383,304.304254941,8.10977659052e-06,184.272485503,5.22888283884,324.31981457,3.71862450418,94.5674886922,272.456776578,31.5806132587,73.8019056357,0.05,7.24508956683,0.15248873659,0.049725061019,2.99569411289,7.98025537226,0.903251797403,30.2218862761,1%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/KnownPulsars/L155451_SAP1_BEAM61_DM73.83_Z0_ACCEL_Cand_1.pfd
1479.92670329,33005.8562273,0.0,9683.17948815,101.357541128,0.097696343055,25.3388169597,3.04116933843,81.247184345,3.04116933843,76.2983563578,495.401553702,37.7599022197,58.4059443604,0.04,7.70770776463,0.438759851468,0.023581532077,24.7478320851,0.14807229054,0.732768537898,22.8554903373,1%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/KnownPulsars/L167143_SAP2_BEAM10_DM58.44_Z0_ACCEL_Cand_1.pfd
6302.81875099,14422.8354073,1.0,8406.61195692,83.7901953522,3.03210901422e-16,41.8366154644,1.58903731956,211.511003784,1.58903731956,215.144626549,944.79453028,23.398871413,94.8875260806,0.02,3.34269591615,0.110543102416,0.00557549576568,3.58792087662,11.1070555715,0.24789092957,14.2477718314,1%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/KnownPulsars/L167143_SAP2_BEAM2_DM94.92_Z0_ACCEL_Cand_1.pfd
2345.33769775,4152.03584449,3.0,4231.90815882,31.3634284579,0.692052594974,76.9098305893,230.938423147,2380.40623386,6.04282819024,959.569842499,233.650258302,12.4966072523,122.384093112,0.09,3.93000116791,0.0442395749812,0.0296215945072,2.8413583978,0.484530257783,0.218517058281,8.71294406706,1%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/KnownPulsars/L167143_SAP2_BEAM9_DM122.36_Z0_ACCEL_Cand_1.pfd
1107.00273271,33101.4360926,0.0,9749.05824521,94.4244060941,0.00543794703344,30.6099487012,1.4417271535,64.1165453743,1.4417271535,67.7306957187,1656.43782351,37.0037337791,9.18,0.02,5.28624768274,0.842286796303,0.0134457906212,45.1379941574,0.23546453743,0.659980217432,25.0838450837,1%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/KnownPulsars/L168043_SAP1_BEAM11_DM9.18_Z0_ACCEL_Cand_1.pfd
8330.2828038,13337.2603648,0.0,2595.21477219,49.9613506353,0.476486110612,55.6937460905,22.9415867853,364.678245597,5.41217872061,315.746409206,60.3298983821,0.1,15.6745135602,0.26,0.0592748978364,0.0446820323504,0.00146988673241,1.44238537709,0.087574784664,0.819398185899,15.8114433763,1%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/KnownPulsars/L168045_SAP1_BEAM10_DM15.66_Z0_ACCEL_Cand_8.pfd
1336.18682174,2251.32850318,5.0,2690.39049509,7.53920930654,0.974479440591,91.3984639199,1.30026947288,2558.06562172,2.66089949354,2155.89153515,218.713003823,2.00950367457e-14,80.8802294931,0.08,5.92570305359e-15,0.81791116915,0.0360549613924,4.76896865054,0.613563855843,0.15240257171,8.15329059416,1%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/KnownPulsars/L80012_SAP1_BEAM0_DM80.79_Z0_ACCEL_Cand_1.pfd
